ability_id,pokemon_id
026,487
081,471
039,362
115,362
007,431
020,431
052,207
008,207
052,472
008,472
034,044
157,673
039,042
033,118
041,118
006,055
013,055
069,076
005,076
089,622
103,622
089,623
103,623
157,706
093,706
157,704
093,704
033,368
119,574
172,574
119,576
172,576
119,575
172,575
053,711
119,711
022,210
095,210
069,075
005,075
067,658
001,088
060,088
065,388
070,383
065,253
022,058
018,058
047,326
020,326
064,316
060,316
062,533
125,533
022,130
030,440
032,440
047,297
062,297
026,093
084,701
007,701
079,612
104,612
082,631
018,631
018,485
087,695
008,695
087,694
008,694
068,214
062,214
022,507
146,507
045,449
045,450
051,107
089,107
007,106
120,106
022,237
101,237
046,250
015,430
105,430
099,679
015,163
051,163
034,187
102,187
033,116
097,116
048,229
018,229
048,228
018,228
033,367
026,635
015,097
108,097
056,174
172,174
012,314
110,314
066,392
126,686
021,686
065,002
011,593
130,593
056,039
172,039
032,385
010,135
014,595
127,595
034,189
102,189
012,124
108,124
033,140
004,140
033,141
004,141
028,064
039,064
061,014
048,115
113,115
068,588
061,588
016,352
154,647
033,230
097,230
052,099
075,099
028,281
036,281
057,600
057,600
158,707
057,599
057,599
057,601
057,601
026,109
052,098
075,098
061,401
068,402
022,552
153,552
022,553
153,553
002,382
046,646
163,646
164,646
005,305
069,305
018,608
049,608
159,645
022,645
010,171
035,171
011,131
075,131
049,636
062,246
026,380
026,381
102,470
068,542
034,542
068,166
048,166
068,165
048,165
020,463
012,463
020,108
012,108
007,510
084,510
021,345
034,549
020,549
072,506
053,506
053,264
082,264
079,667
127,667
018,607
049,607
033,271
044,271
056,428
103,428
033,270
044,270
043,294
080,448
039,448
033,272
044,272
046,249
033,457
114,457
026,337
033,370
079,404
022,404
079,405
022,405
062,068
099,068
062,067
099,067
062,066
099,066
049,240
040,219
049,219
033,129
049,126
049,467
042,081
005,081
042,082
005,082
042,462
005,462
047,296
062,296
126,687
021,687
012,473
081,473
093,490
145,630
142,630
009,310
031,310
072,056
083,056
033,226
011,226
033,458
011,458
011,556
034,556
009,179
047,183
037,183
069,105
031,105
067,259
022,284
052,303
022,303
074,308
074,307
065,154
032,648
051,678
151,678
053,052
101,052
026,481
029,376
029,375
061,011
028,151
046,150
039,619
144,619
039,620
144,620
022,262
095,262
063,350
172,350
047,241
113,241
043,439
111,439
056,572
101,572
057,312
026,200
026,429
046,146
066,391
068,414
043,122
111,122
067,258
001,089
060,089
053,446
047,446
108,517
028,517
015,198
105,198
108,518
028,518
028,177
048,177
038,034
079,034
038,031
079,031
038,029
079,029
038,032
079,032
038,030
079,030
038,033
079,033
014,290
018,038
003,291
015,164
051,164
119,714
151,714
119,715
151,715
005,299
042,299
012,322
086,322
034,274
048,274
021,224
097,224
034,043
033,138
075,138
033,139
075,139
069,095
005,095
067,501
050,417
053,417
046,484
033,536
093,536
089,674
104,674
089,675
104,675
082,515
082,511
082,513
027,046
087,046
027,047
087,047
050,504
051,504
128,624
039,624
051,279
007,053
101,053
034,548
020,548
053,231
030,708
119,708
093,489
009,172
051,018
077,018
051,017
077,017
051,016
077,016
145,519
105,519
066,499
009,025
012,221
081,221
005,204
052,127
104,127
067,393
057,311
011,186
006,186
011,060
006,060
011,061
006,061
011,062
006,062
050,077
018,077
050,261
095,261
091,474
088,474
036,137
088,137
036,233
088,233
072,057
083,057
067,394
005,476
042,476
006,054
013,054
053,710
119,710
061,247
007,509
084,509
047,432
020,432
079,668
127,668
006,195
011,195
066,156
065,651
038,211
033,211
009,026
046,243
028,280
036,280
104,409
050,078
018,078
050,020
062,020
050,019
062,019
076,384
029,378
112,486
029,377
029,379
033,369
069,369
055,223
097,223
163,643
142,579
098,579
031,112
069,112
031,111
069,111
031,464
116,464
080,447
039,447
005,524
030,315
038,315
030,407
038,407
026,479
051,627
125,627
051,302
100,302
022,373
067,503
022,551
153,551
008,027
008,028
005,539
039,539
034,586
157,586
019,664
014,664
065,254
068,212
101,212
038,545
068,545
061,560
153,560
061,559
153,559
068,123
101,123
038,117
097,117
033,119
041,119
047,364
115,364
034,273
048,273
047,086
093,086
033,537
143,537
050,161
051,161
065,497
065,496
061,336
068,540
034,540
024,319
030,492
032,492
025,292
069,372
075,090
092,090
060,422
114,422
093,616
075,616
005,410
034,275
048,275
079,403
022,403
027,285
090,285
005,213
082,213
015,353
119,353
147,561
098,561
061,266
082,516
082,512
082,514
051,227
005,227
157,672
034,188
102,188
056,300
096,300
004,451
097,451
038,690
143,690
001,435
106,435
054,289
054,287
157,705
093,705
012,080
020,080
012,199
020,199
012,079
020,079
040,218
049,218
175,685
020,235
101,235
012,238
108,238
039,215
051,215
065,495
017,143
047,143
039,361
115,361
117,459
022,209
050,209
142,577
098,577
026,338
051,021
061,665
047,363
115,363
068,167
015,167
020,327
077,327
046,442
047,325
020,325
131,682
067,007
022,234
119,234
022,398
022,397
051,396
035,121
030,121
035,120
030,120
069,208
005,208
022,508
146,508
009,618
007,618
001,434
106,434
005,185
069,185
046,245
034,192
094,192
034,191
094,191
033,283
030,333
102,541
034,541
064,317
060,317
067,260
051,581
145,581
062,277
012,220
081,220
175,684
109,528
103,528
056,700
062,276
049,663
034,114
102,114
034,465
102,465
022,128
083,128
053,216
095,216
029,072
064,072
029,073
064,073
066,498
154,639
062,538
039,538
158,642
010,642
062,532
125,532
116,564
005,564
055,468
032,468
055,175
032,175
055,176
032,176
066,255
073,324
158,641
144,641
065,389
067,158
107,454
087,454
145,520
105,520
052,328
071,328
065,252
030,709
119,709
034,357
094,357
001,568
060,568
065,387
033,535
093,535
026,602
066,157
045,248
173,697
062,236
080,236
173,696
028,197
145,521
105,521
026,201
062,217
095,217
026,480
115,583
115,582
115,584
011,134
038,543
068,543
019,049
110,049
014,048
110,048
065,003
046,416
026,329
162,494
034,071
072,288
034,045
154,640
019,666
014,666
035,313
068,313
049,637
043,100
009,100
145,629
142,629
018,037
041,320
012,320
041,321
012,321
047,365
115,365
067,008
035,505
051,505
046,461
019,013
034,070
026,110
158,547
151,547
038,544
068,544
012,340
107,340
043,293
056,040
172,040
051,278
023,202
109,527
103,527
006,194
011,194
107,413
019,265
023,360
028,178
048,178
187,716
152,562
003,193
014,193
003,469
110,469
186,717
017,335
046,145
031,523
078,523
164,644
053,263
082,263
149,571
149,570
039,041
055,634
188,718
